
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
614;B1118-79;J1119-7936;2.280597;3.67e-15;0.438482;-7.056e-16;27.40;-11.00;40.000;0.70;*;0.814;9.85e+06;
615;J1120-24;J1120-24;0.497000;*;2.012072;*;9.81;*;7.000;*;*;0.098;*;
616;J1120-3618;J1120-3618;0.005557;9.26e-22;179.952669;-3.000e-17;45.12;-48.00;*;0.30;DDH;0.954;9.50e+10;
617;B1119-54;J1121-5444;0.535787;2.78e-15;1.866415;-9.698e-15;204.70;42.00;19.000;1.50;*;2.324;3.05e+06;
618;J1122-3546;J1122-3546;0.007838;1.52e-20;127.582438;-2.480e-16;39.59;*;1.000;*;*;0.668;8.15e+09;
619;J1123-4844;J1123-4844;0.244838;6.54e-17;4.084325;-1.091e-15;92.92;-7.00;2.600;1.00;*;1.858;5.93e+07;
620;J1123-6102;J1123-6102;0.640234;6.46e-15;1.561930;-1.576e-14;439.40;244.00;8.700;1.10;*;3.487;1.57e+06;
621;J1123-6259;J1123-6259;0.271437;5.25e-15;3.684092;-7.129e-14;223.26;54.00;6.400;0.51;*;2.187;8.19e+05;
622;J1123-6651;J1123-6651;0.232976;2.75e-15;4.292280;-5.067e-14;111.20;-85.00;16.000;0.60;*;1.675;1.34e+06;
623;J1124-3653;J1124-3653;0.002410;6.01e-21;415.011347;-1.035e-15;44.86;*;*;*;ELL1;0.987;6.35e+09;
624;J1124-5638;J1124-5638;0.185560;9.00e-18;5.389093;-2.614e-16;289.50;*;14.000;0.31;*;2.639;3.27e+08;
625;J1124-5916;J1124-5916;0.135477;7.53e-13;7.381335;-4.100e-11;329.20;164.00;10.000;0.08;*;5.000;2.85e+03;
626;J1124-6421;J1124-6421;0.479099;6.20e-16;2.087253;-2.701e-15;298.00;-1102.00;14.000;0.19;*;2.702;1.22e+07;
627;J1125+7819;J1125+7819;0.004202;6.94e-21;238.004053;-3.933e-16;12.03;-28.40;0.430;1.10;ELL1;0.903;9.59e+09;
628;J1125-5825;J1125-5825;0.003102;6.09e-20;322.350433;-6.328e-15;124.81;-5.50;0.310;1.00;DD;1.744;8.07e+08;
629;J1125-6014;J1125-6014;0.002630;3.73e-21;380.173094;-5.393e-16;52.93;8.45;0.210;1.32;T2;0.988;1.12e+10;
630;J1126-2737;J1126-2737;0.358161;*;2.792040;*;26.86;*;9.000;*;*;0.436;*;
631;J1126-38;J1126-38;0.887550;*;1.126697;*;46.00;*;31.000;*;*;1.013;*;
632;B1124-60;J1126-6054;0.202737;2.81e-16;4.932501;-6.843e-15;280.27;-41.00;4.200;1.40;*;2.426;1.14e+07;
633;J1126-6942;J1126-6942;0.579419;3.29e-15;1.725868;-9.811e-15;55.33;-31.00;11.000;0.30;*;1.185;2.79e+06;
634;J1128-6219;J1128-6219;0.515984;1.10e-17;1.938046;-4.132e-17;675.00;*;93.000;0.27;*;7.400;7.43e+08;
635;J1129-53;J1129-53;1.062880;*;0.940840;*;77.00;*;*;*;*;1.457;*;
636;J1130+09;J1130+09;4.796637;-2.76e-15;0.208479;1.200e-16;21.00;*;*;*;*;3.386;*;
637;J1130-5826;J1130-5826;0.162323;1.59e-17;6.160538;-6.031e-16;261.10;*;2.700;0.18;*;2.408;1.62e+08;
638;J1130-5925;J1130-5925;0.680984;9.52e-16;1.468464;-2.052e-15;264.40;*;15.000;0.12;*;2.387;1.13e+07;
639;J1130-6807;J1130-6807;0.256353;4.60e-16;3.900874;-6.995e-15;148.73;-150.00;33.000;0.55;*;1.972;8.84e+06;
640;J1132+25;J1132+25;1.002000;*;0.998004;*;24.19;*;14.000;*;*;25.000;*;
641;J1132-4700;J1132-4700;0.325633;7.77e-16;3.070939;-7.326e-15;123.00;*;18.000;0.49;*;2.688;6.64e+06;
642;J1132-5627;J1132-5627;0.175166;6.80e-17;5.708862;-2.216e-15;305.70;*;2.100;0.09;*;2.911;4.08e+07;
643;B1131-62;J1133-6250;1.022875;4.52e-16;0.977636;-4.320e-16;567.80;848.00;263.000;7.00;*;7.448;3.59e+07;
644;J1135-49;J1135-49;*;*;*;*;114.00;*;9.000;*;*;2.129;*;
645;J1135-6055;J1135-6055;0.114943;7.93e-14;8.700000;-6.000e-12;*;*;*;*;*;*;2.30e+04;
646;B1133+16;J1136+1551;1.187913;3.73e-15;0.841812;-2.646e-15;4.84;3.97;5.800;20.00;*;0.370;5.04e+06;
647;B1133-55;J1136-5525;0.364713;8.23e-15;2.741880;-6.185e-14;85.11;31.80;14.000;6.00;*;1.518;7.02e+05;
648;J1136-6527;J1136-6527;1.189309;1.75e-15;0.840824;-1.237e-15;164.10;*;19.600;0.14;*;1.955;1.08e+07;
649;J1137+7528;J1137+7528;0.002513;3.24e-21;397.987396;-5.132e-16;29.17;*;*;*;ELL1;3.833;1.23e+10;
650;J1137-6700;J1137-6700;0.556216;7.17e-17;1.797863;-2.318e-16;228.04;-1.00;87.000;1.50;*;2.603;1.23e+08;
651;J1138-6207;J1138-6207;0.117564;1.25e-14;8.506020;-9.028e-13;518.86;594.00;9.200;0.57;*;7.183;1.49e+05;
652;J1139-6247;J1139-6247;0.120482;4.05e-15;8.300000;-2.790e-13;*;*;*;*;*;*;4.71e+05;
653;J1141-3107;J1141-3107;0.538432;1.96e-15;1.857245;-6.761e-15;30.77;-26.00;20.000;0.80;*;0.783;4.35e+06;
654;J1141-3322;J1141-3322;0.291468;4.65e-16;3.430911;-5.477e-15;46.45;-36.00;5.400;1.60;*;1.853;9.92e+06;
655;J1141-6545;J1141-6545;0.393899;4.31e-15;2.538723;-2.776e-14;116.08;-93.00;7.700;2.40;DD;10.000;1.45e+06;
656;J1142+0119;J1142+0119;0.005075;1.50e-20;197.032753;-5.819e-16;19.20;0.31;*;0.04;ELL1;2.169;5.36e+09;
657;J1142-6230;J1142-6230;0.558383;7.79e-17;1.790884;-2.500e-16;343.80;*;30.000;0.26;*;3.483;1.13e+08;
658;J1143-5158;J1143-5158;0.675646;6.95e-16;1.480065;-1.523e-15;159.03;*;6.600;0.30;*;2.397;1.54e+07;
659;J1143-5536;J1143-5536;0.685358;4.85e-16;1.459090;-1.033e-15;185.00;*;13.000;0.20;*;2.220;2.24e+07;
660;J1144-6146;J1144-6146;0.987783;-3.81e-17;1.012368;3.900e-17;78.70;*;33.000;0.45;*;1.395;*;
661;J1144-6217;J1144-6217;0.850665;3.08e-14;1.175551;-4.261e-14;284.70;*;7.500;0.20;*;2.644;4.37e+05;
662;B1143-60;J1146-6030;0.273375;1.79e-15;3.657986;-2.393e-14;111.68;7.00;11.000;3.20;*;1.634;2.42e+06;
663;J1146-6610;J1146-6610;0.003722;7.93e-21;268.650200;-5.723e-16;133.82;*;0.790;0.55;ELL1;1.793;7.44e+09;
664;J1148-5725;J1148-5725;3.559937;1.11e-14;0.280904;-8.760e-16;174.00;*;42.000;0.12;*;2.063;5.08e+06;
665;J1148-6415;J1148-6415;3.241029;2.70e-15;0.308544;-2.570e-16;241.00;*;37.000;0.06;*;2.454;1.90e+07;
666;J1151-6108;J1151-6108;0.101633;1.03e-14;9.839307;-9.951e-13;217.80;183.10;6.900;0.06;*;2.227;1.57e+05;
667;J1152-5800;J1152-5800;1.789829;1.28e-15;0.558712;-4.000e-16;191.00;*;16.000;0.12;*;2.156;2.21e+07;
668;J1152-6012;J1152-6012;0.376570;6.69e-15;2.655552;-4.714e-14;74.00;*;8.100;0.17;*;1.367;8.93e+05;
669;J1152-6056;J1152-6056;2.449000;*;0.408330;*;381.00;*;6.100;*;*;6.429;*;
670;J1153-2117;J1153-2117;2.343480;*;0.426716;*;34.80;*;*;*;*;2.331;*;
671;J1154-19;J1154-19;0.011100;*;90.090090;*;10.69;*;0.500;*;*;0.121;*;
672;J1154-6250;J1154-6250;0.282012;5.59e-16;3.545952;-7.029e-15;74.00;*;7.400;0.07;*;1.358;7.99e+06;
673;J1156-1318;J1156-1318;*;*;*;*;28.00;*;*;*;*;2.228;*;
674;J1156-5707;J1156-5707;0.288417;2.65e-14;3.467205;-3.191e-13;243.20;228.00;2.500;0.27;*;2.848;1.72e+05;
675;J1156-5909;J1156-5909;1.037931;1.02e-15;0.963455;-9.468e-16;219.20;*;15.000;*;*;2.330;1.61e+07;
676;J1157-5112;J1157-5112;0.043589;1.43e-19;22.941448;-7.526e-17;39.72;-4.46;2.200;0.28;ELL1;0.961;4.83e+09;
677;B1154-62;J1157-6224;0.400526;3.93e-15;2.496719;-2.452e-14;325.20;508.20;12.000;14.00;*;4.000;1.61e+06;
678;J1159-6409;J1159-6409;0.667486;2.40e-17;1.498160;-5.387e-17;178.00;259.00;211.000;0.47;*;2.035;4.41e+08;
679;J1159-7910;J1159-7910;0.525074;2.82e-15;1.904493;-1.022e-14;59.24;-11.00;12.000;0.70;*;1.608;2.95e+06;
680;J1201-6306;J1201-6306;0.592136;3.56e-15;1.688801;-1.014e-14;683.00;*;10.000;0.13;*;9.538;2.64e+06;
681;B1159-58;J1202-5820;0.452803;2.13e-15;2.208465;-1.039e-14;145.41;139.00;10.000;3.00;*;1.887;3.37e+06;
682;J1203-6242;J1203-6242;0.100604;4.41e-14;9.940000;-4.360e-12;*;*;*;*;*;*;3.61e+04;
683;J1204-6843;J1204-6843;0.308861;2.17e-16;3.237704;-2.276e-15;133.93;*;8.800;0.50;*;1.906;2.25e+07;
684;J1207-4508;J1207-4508;1.769828;1.56e-15;0.565027;-4.980e-16;84.50;-64.00;73.000;0.31;*;2.634;1.80e+07;
685;J1207-5050;J1207-5050;0.004843;6.06e-21;206.493932;-2.586e-16;50.64;-13.00;*;0.39;*;1.267;1.27e+10;
686;J1208-6238;J1208-6238;0.440591;3.27e-12;2.269680;-1.684e-11;*;*;*;*;*;*;2.14e+03;
687;J1210-5226;J1210-5226;0.424131;2.22e-17;2.357764;-1.236e-16;*;*;*;*;*;2.600;3.02e+08;
688;J1210-5559;J1210-5559;0.279768;7.25e-16;3.574392;-9.267e-15;174.35;58.00;4.900;1.27;*;2.372;6.11e+06;
689;J1210-6322;J1210-6322;1.163186;9.25e-15;0.859708;-6.834e-15;547.00;*;66.000;0.15;*;9.548;1.99e+06;
690;J1210-6550;J1210-6550;4.237010;4.31e-16;0.236015;-2.400e-17;37.00;*;33.000;0.17;*;0.923;1.56e+08;
691;J1211-6324;J1211-6324;0.433084;2.57e-16;2.309021;-1.370e-15;333.80;-120.00;11.000;0.45;*;8.049;2.67e+07;
692;J1214-5830;J1214-5830;0.909823;5.34e-17;1.099115;-6.451e-17;141.10;*;8.000;0.14;*;1.883;2.70e+08;
693;J1215-5328;J1215-5328;0.636414;1.15e-16;1.571304;-2.839e-16;163.00;*;35.000;0.50;*;3.274;8.77e+07;
694;J1216-50;J1216-50;6.355000;*;0.157356;*;110.00;*;9.000;*;*;2.302;*;
695;J1216-6223;J1216-6223;0.374053;1.68e-14;2.673418;-1.202e-13;790.00;*;15.000;0.23;*;18.311;3.52e+05;
696;J1216-6410;J1216-6410;0.003539;1.62e-21;282.535706;-1.290e-16;47.39;-22.00;0.220;1.15;ELL1;1.098;3.47e+10;
697;J1220-6318;J1220-6318;0.789212;8.03e-17;1.267087;-1.290e-16;347.00;258.00;56.000;0.68;*;8.948;1.56e+08;
698;J1221-0633;J1221-0633;0.001935;5.27e-21;516.918832;-1.408e-15;16.43;*;0.180;*;ELL1;1.251;5.82e+09;
699;J1222-5738;J1222-5738;1.081164;1.50e-16;0.924929;-1.283e-16;74.00;*;7.400;0.11;*;1.408;1.14e+08;
700;J1223-5856;J1223-5856;0.288541;5.70e-18;3.465707;-6.846e-17;233.00;*;63.300;0.38;*;4.770;8.02e+08;
701;J1224-6208;J1224-6208;0.585761;2.02e-14;1.707180;-5.886e-14;454.20;80.00;9.700;0.23;*;9.876;4.60e+05;
702;B1221-63;J1224-6407;0.216480;4.95e-15;4.619369;-1.057e-13;97.69;-5.60;5.300;8.90;*;4.000;6.92e+05;
703;J1225-5556;J1225-5556;1.018453;2.06e-15;0.981881;-1.989e-15;125.83;*;20.000;0.30;*;1.929;7.82e+06;
704;J1225-6035;J1225-6035;0.626324;2.88e-16;1.596618;-7.342e-16;176.10;70.00;3.100;0.26;*;2.194;3.45e+07;
705;B1222-63;J1225-6408;0.419618;9.46e-16;2.383121;-5.373e-15;415.10;337.00;4.500;1.26;*;9.846;7.03e+06;
706;J1226+0005;J1226+0005;2.285076;2.47e-15;0.437622;-4.738e-16;18.50;*;48.000;*;*;1.868;1.46e+07;
707;J1226-3223;J1226-3223;6.193004;7.05e-15;0.161473;-1.838e-16;36.70;*;54.000;*;*;2.175;1.39e+07;
708;J1227-4853;J1227-4853;0.001686;1.11e-20;592.987774;-3.900e-15;43.42;*;*;*;ELL1;1.613;2.41e+09;
709;J1227-6208;J1227-6208;0.034528;1.87e-19;28.962141;-1.572e-16;362.91;47.32;1.300;0.27;ELL1H;9.469;2.92e+09;
710;J1227-63;J1227-63;0.444578;*;2.249324;*;359.00;*;15.000;*;*;9.406;*;
711;J1231-1411;J1231-1411;0.003684;2.26e-20;271.453015;-1.667e-15;8.09;11.58;0.440;0.29;T2;0.420;2.58e+09;
712;J1231-4609;J1231-4609;0.877239;3.80e-17;1.139940;-4.938e-17;67.40;-20.00;43.000;1.70;*;1.966;3.66e+08;
713;J1231-5113;J1231-5113;0.206612;1.17e-16;4.840000;-2.740e-15;*;*;*;*;*;*;2.80e+07;
714;J1231-6303;J1231-6303;1.351236;1.32e-16;0.740063;-7.230e-17;301.00;390.00;174.200;1.50;*;8.278;1.62e+08;
715;J1231-6511;J1231-6511;0.247525;2.84e-14;4.040000;-4.640e-13;*;*;*;*;*;*;1.38e+05;
716;J1232-4742;J1232-4742;1.872994;1.40e-17;0.533904;-3.991e-18;26.00;*;92.000;2.38;*;0.871;2.12e+09;
717;J1232-6501;J1232-6501;0.088282;8.11e-19;11.327349;-1.040e-16;239.40;*;11.000;0.34;ELL1;5.423;1.73e+09;
718;J1233-6312;J1233-6312;0.564759;6.92e-15;1.770666;-2.170e-14;414.00;*;53.000;0.25;*;10.020;1.29e+06;
719;J1233-6344;J1233-6344;0.756892;3.88e-15;1.321193;-6.769e-15;495.00;*;11.000;0.07;*;10.378;3.09e+06;
720;J1234-3630;J1234-3630;0.569242;8.66e-16;1.756721;-2.673e-15;59.29;*;11.000;*;*;5.991;1.04e+07;
721;B1232-55;J1235-54;0.638234;*;1.566824;*;100.00;*;44.000;1.00;*;1.741;*;
722;J1235-6354;J1235-6354;0.256778;1.97e-16;3.894420;-2.988e-15;439.90;*;9.000;0.16;*;10.296;2.07e+07;
723;J1236-0159;J1236-0159;3.597574;5.10e-15;0.277965;-3.943e-16;19.08;*;94.000;*;*;2.039;1.12e+07;
724;J1236-5033;J1236-5033;0.294760;1.56e-16;3.392593;-1.791e-15;105.02;49.00;12.000;0.60;*;2.755;3.00e+07;
725;J1236-65;J1236-65;0.100565;*;9.943798;*;175.00;*;3.500;0.09;*;2.449;*;
726;J1237-6725;J1237-6725;2.110974;2.19e-15;0.473715;-4.914e-16;176.50;24.00;31.000;0.40;*;3.036;1.53e+07;
727;J1238+2152;J1238+2152;1.118591;1.45e-15;0.893982;-1.155e-15;17.97;4.41;*;*;*;2.554;1.23e+07;
728;J1239+0326;J1239+0326;0.858327;4.36e-16;1.165058;-5.920e-16;34.29;4.00;*;0.03;*;25.000;3.12e+07;
729;B1237+25;J1239+2453;1.382449;9.60e-16;0.723354;-5.023e-16;9.25;-0.12;45.000;23.00;*;0.840;2.28e+07;
730;J1239+32;J1239+32;0.004700;*;212.765957;*;16.85;-9.08;0.360;*;*;2.224;*;
731;J1239-48;J1239-48;0.653900;*;1.529286;*;107.60;*;*;*;*;5.355;*;
732;B1236-68;J1239-6832;1.301923;1.19e-14;0.768095;-7.011e-15;94.30;-49.00;19.000;0.96;*;1.575;1.74e+06;
733;B1237-41;J1240-4124;0.512242;1.74e-15;1.952202;-6.627e-15;44.10;17.00;4.500;0.60;*;1.682;4.67e+06;
734;J1242+39;J1242+39;1.310000;*;0.763359;*;26.00;*;35.000;*;*;25.000;*;
735;J1243+17;J1243+17;1.216500;*;0.822030;*;5.00;*;200.000;*;*;0.405;*;
736;J1243-5735;J1243-5735;0.471225;8.00e-17;2.122129;-3.603e-16;270.60;*;15.000;0.14;*;14.147;9.33e+07;
737;B1240-64;J1243-6423;0.388485;4.49e-15;2.574101;-2.978e-14;297.09;161.20;5.300;34.00;*;2.000;1.37e+06;
738;J1244-1812;J1244-1812;3.425324;1.48e-15;0.291943;-1.264e-16;15.50;4.00;43.000;0.20;*;1.085;3.66e+07;
739;J1244-5053;J1244-5053;0.275207;1.00e-15;3.633627;-1.320e-14;109.95;*;5.400;0.20;*;3.422;4.36e+06;
740;J1244-6359;J1244-6359;0.147274;4.40e-18;6.790050;-2.029e-16;286.00;*;9.600;0.15;DD;8.497;5.30e+08;
741;J1244-6531;J1244-6531;1.546819;7.18e-15;0.646488;-3.001e-15;388.00;*;21.000;0.17;*;10.862;3.41e+06;
742;J1245-6238;J1245-6238;2.283093;1.09e-14;0.438002;-2.095e-15;336.00;*;60.000;0.14;*;9.956;3.31e+06;
743;J1246+2253;J1246+2253;0.473871;8.89e-17;2.110281;-3.959e-16;17.79;3.59;9.700;0.39;*;2.465;8.45e+07;
744;J1248-6344;J1248-6344;0.198335;1.69e-14;5.041971;-4.301e-13;433.00;*;12.000;0.20;*;10.699;1.86e+05;
745;J1248-6444;J1248-6444;1.234893;1.93e-15;0.809786;-1.267e-15;236.40;*;53.000;0.15;*;5.969;1.01e+07;
746;J1249-6507;J1249-6507;0.434445;1.21e-17;2.301788;-6.411e-17;215.00;*;8.900;0.10;*;5.123;5.69e+08;
747;J1251-7407;J1251-7407;0.327058;3.65e-16;3.057564;-3.413e-15;89.81;-121.00;3.200;0.20;*;1.860;1.42e+07;
748;J1252+53;J1252+53;0.220104;*;4.543315;*;20.70;*;20.000;*;*;3.191;*;
749;J1252-6314;J1252-6314;0.823339;1.08e-16;1.214566;-1.600e-16;278.40;330.00;19.000;0.66;*;7.317;1.20e+08;
750;J1253-5820;J1253-5820;0.255496;2.10e-15;3.913951;-3.216e-14;100.58;17.70;3.700;4.10;*;1.641;1.93e+06;
751;J1254-6150;J1254-6150;0.184502;6.24e-16;5.419989;-1.833e-14;95.00;*;3.100;0.15;*;1.531;4.68e+06;
752;J1255-46;J1255-46;0.052000;*;19.230769;*;42.90;*;*;*;*;1.359;*;
753;J1255-6131;J1255-6131;0.657974;4.00e-15;1.519818;-9.239e-15;206.50;*;5.800;0.13;*;4.824;2.61e+06;
754;J1255-62;J1255-62;0.182912;*;5.467125;*;713.00;*;34.800;0.13;*;19.769;*;
755;B1254-10;J1257-1027;0.617308;3.63e-16;1.619938;-9.518e-16;29.63;8.00;6.600;1.20;*;25.000;2.70e+07;
756;B1256-67;J1259-6741;0.663330;8.55e-16;1.507545;-1.943e-15;94.70;-56.00;22.000;1.30;*;1.574;1.23e+07;
757;B1257+12;J1300+1240;0.006219;1.14e-19;160.809659;-2.957e-15;10.17;7.78;0.750;0.39;BT2P;0.709;8.62e+08;
758;J1300-6602;J1300-6602;1.143316;3.35e-16;0.874649;-2.563e-16;460.00;*;22.100;0.12;*;15.567;5.41e+07;
759;J1301+0833;J1301+0833;0.001844;1.06e-20;542.380051;-3.105e-15;13.20;*;*;*;ELL1;1.233;2.77e+09;
760;J1301-6305;J1301-6305;0.184528;2.67e-13;5.419229;-7.834e-12;374.00;-631.00;22.000;0.49;*;10.717;1.10e+04;
761;J1301-6310;J1301-6310;0.663830;5.64e-14;1.506411;-1.281e-13;86.10;*;12.000;0.11;*;1.458;1.86e+05;
762;J1302-3258;J1302-3258;0.003771;6.54e-21;265.191981;-4.600e-16;26.19;-30.00;*;0.17;ELL1;1.432;9.13e+09;
763;J1302-63;J1302-63;0.325724;*;3.070081;*;875.00;*;7.000;0.10;*;25.000;*;
764;J1302-6313;J1302-6313;0.967846;6.33e-15;1.033222;-6.758e-15;500.00;*;93.000;0.18;*;11.331;2.42e+06;
765;B1259-63;J1302-6350;0.047763;2.28e-15;20.936924;-9.989e-13;146.73;21.10;4.900;4.50;MSS;2.632;3.32e+05;
766;J1303+38;J1303+38;0.396300;*;2.523341;*;19.00;*;4.000;*;*;3.190;*;
767;J1303-62;J1303-62;0.419416;*;2.384268;*;490.00;*;14.700;0.09;*;11.593;*;
768;J1303-6305;J1303-6305;2.306642;2.18e-15;0.433531;-4.100e-16;343.00;*;34.000;0.36;*;10.249;1.68e+07;
769;J1304+12;J1304+12;0.004180;*;239.234450;*;*;*;*;*;*;*;*;
770;J1305-6203;J1305-6203;0.427774;3.22e-14;2.337685;-1.757e-13;468.78;-478.00;16.000;0.67;*;11.586;2.11e+05;
771;J1305-6256;J1305-6256;0.478231;2.11e-15;2.091040;-9.240e-15;967.00;*;19.000;0.32;*;25.000;3.59e+06;
772;B1302-64;J1305-6455;0.571652;4.03e-15;1.749317;-1.234e-14;505.00;-420.00;14.000;2.10;*;11.900;2.25e+06;
773;J1305-66;J1305-66;0.197276;*;5.069033;*;316.10;*;*;0.20;*;11.627;*;
774;J1306-4035;J1306-4035;0.002205;*;453.611427;*;35.00;*;14.000;2.10;BT;4.700;*;
775;J1306-6242;J1306-6242;0.981902;5.86e-15;1.018431;-6.078e-15;480.00;*;37.000;0.14;*;11.429;2.65e+06;
776;B1303-66;J1306-6617;0.473028;5.98e-15;2.114041;-2.672e-14;436.90;396.00;22.000;4.91;*;15.871;1.25e+06;
777;J1307-6318;J1307-6318;4.962427;2.11e-14;0.201514;-8.580e-16;374.00;136.00;505.000;1.40;*;10.783;3.72e+06;
778;J1307-67;J1307-67;3.651200;*;0.273883;*;44.00;*;2.000;*;*;1.093;*;
779;J1308+2127;J1308+2127;10.312522;1.12e-13;0.096969;-1.053e-15;*;*;*;*;*;*;1.46e+06;
780;J1308-23;J1308-23;0.002830;*;353.356890;*;22.36;*;0.210;*;*;1.713;*;
781;J1308-4650;J1308-4650;1.058833;5.26e-16;0.944436;-4.691e-16;66.00;*;56.000;*;*;2.187;3.19e+07;
782;J1308-5844;J1308-5844;0.464700;8.64e-15;2.151927;-4.001e-14;205.60;9.10;5.400;0.21;*;6.462;8.52e+05;
783;J1309-6415;J1309-6415;0.619454;8.79e-15;1.614326;-2.290e-14;574.00;*;26.000;0.21;*;11.977;1.12e+06;
784;J1309-6526;J1309-6526;0.398292;1.84e-17;2.510720;-1.160e-16;340.00;*;7.000;0.15;*;11.257;3.43e+08;
785;B1309-12;J1311-1228;0.447518;1.51e-16;2.234548;-7.533e-16;36.21;-13.00;6.100;0.50;*;25.000;4.70e+07;
786;J1311-3430;J1311-3430;0.002560;2.10e-20;390.568393;-3.198e-15;37.80;*;*;*;ELL1;2.430;1.94e+09;
787;J1312+0051;J1312+0051;0.004228;1.75e-20;236.517386;-9.805e-16;15.35;2.00;*;0.19;DD;1.471;3.82e+09;
788;B1310+18;J1312+1810A;0.033163;*;30.153936;*;24.00;*;3.200;*;BT;18.050;*;
789;J1312+1810B;J1312+1810B;0.006242;-1.75e-20;160.198315;4.480e-16;25.96;*;*;*;DD;18.050;*;
790;J1312+1810C;J1312+1810C;0.012535;5.26e-20;79.776121;-3.350e-16;26.19;*;*;*;*;18.050;3.77e+09;
791;J1312+1810D;J1312+1810D;0.006070;2.26e-20;164.751773;-6.140e-16;24.61;*;*;*;ELL1;18.050;4.25e+09;
792;J1312+1810E;J1312+1810E;0.003972;-7.57e-21;251.753526;4.800e-16;25.88;*;*;*;ELL1;25.000;*;
793;B1309-53;J1312-5402;0.728154;1.47e-16;1.373335;-2.765e-16;133.00;143.00;26.000;0.78;*;4.905;7.87e+07;
794;B1309-55;J1312-5516;0.849243;5.70e-15;1.177520;-7.910e-15;134.10;141.00;18.000;3.04;*;4.187;2.36e+06;
795;J1312-6400;J1312-6400;2.437432;6.83e-16;0.410268;-1.150e-16;93.00;-13.00;24.000;0.75;*;1.526;5.65e+07;
796;J1313+0931;J1313+0931;0.848933;8.00e-16;1.177950;-1.110e-15;12.04;2.30;*;0.16;*;1.083;1.68e+07;
797;J1314-6101;J1314-6101;2.948390;1.17e-14;0.339168;-1.346e-15;309.00;-388.00;59.000;0.41;*;8.539;3.99e+06;
798;J1316-6232;J1316-6232;0.342825;5.30e-15;2.916937;-4.507e-14;966.40;*;119.000;0.74;*;25.000;1.03e+06;
799;J1317-0157;J1317-0157;0.002908;5.50e-21;343.850032;-6.500e-16;29.40;*;0.290;*;ELL1;25.000;8.38e+09;
800;J1317-5759;J1317-5759;2.642199;1.26e-14;0.378473;-1.799e-15;145.30;*;12.000;*;*;3.765;3.33e+06;
801;J1317-6302;J1317-6302;0.261271;1.02e-16;3.827450;-1.500e-15;678.10;-504.00;12.000;1.60;*;12.771;4.04e+07;
802;B1316-60;J1319-6056;0.284353;1.53e-15;3.516760;-1.889e-14;400.94;-281.00;5.000;1.30;*;11.852;2.95e+06;
803;J1319-6105;J1319-6105;0.421118;1.50e-15;2.374631;-8.465e-15;440.60;-481.00;12.000;0.84;*;12.173;4.44e+06;
804;J1320+67;J1320+67;1.028620;*;0.972176;*;28.00;*;12.000;*;*;25.000;*;
805;J1320-3512;J1320-3512;0.458488;1.90e-18;2.181080;-9.039e-18;16.42;-8.00;10.000;4.70;*;0.873;3.82e+09;
806;B1317-53;J1320-5359;0.279738;9.25e-15;3.574778;-1.182e-13;97.10;141.00;7.900;2.10;*;2.204;4.79e+05;
807;B1322+83;J1321+8323;0.670037;5.66e-16;1.492454;-1.261e-15;13.32;-23.67;19.600;0.90;*;0.960;1.87e+07;
808;J1321-5922;J1321-5922;1.279058;2.37e-15;0.781826;-1.449e-15;383.00;*;10.000;0.19;*;25.000;8.55e+06;
809;J1322-62;J1322-62;1.044851;*;0.957074;*;733.60;*;*;0.30;*;15.750;*;
810;J1322-6241;J1322-6241;0.506058;2.59e-15;1.976056;-1.010e-14;618.80;83.00;5.900;0.37;*;12.236;3.10e+06;
811;J1322-6329;J1322-6329;2.764209;1.11e-14;0.361767;-1.450e-15;659.00;*;34.000;0.17;*;12.376;3.95e+06;
812;J1324-6146;J1324-6146;0.844109;5.58e-15;1.184682;-7.831e-15;828.00;-1546.00;72.000;0.73;*;25.000;2.40e+06;
813;J1324-6302;J1324-6302;2.483804;9.79e-16;0.402608;-1.587e-16;497.00;*;18.000;0.23;*;11.685;4.02e+07;
814;J1325-6253;J1325-6253;0.028969;4.80e-20;34.520144;-5.720e-17;303.33;-144.00;*;0.13;DD;6.398;9.56e+09;
815;J1326+33;J1326+33;0.041500;*;24.096386;*;4.19;*;1.100;*;*;0.344;*;
816;J1326-4728A;J1326-4728A;0.004109;2.74e-20;243.380880;-1.622e-15;100.29;-18.00;*;0.05;*;5.430;2.38e+09;
817;J1326-4728B;J1326-4728B;0.004792;-5.43e-20;208.686833;2.366e-15;100.25;*;*;0.09;ELL1;5.430;*;
818;J1326-4728C;J1326-4728C;0.006868;9.81e-21;145.605770;-2.080e-16;100.64;*;*;0.03;*;5.430;1.11e+10;
819;J1326-4728D;J1326-4728D;0.004579;-4.11e-20;218.396237;1.960e-15;96.52;*;*;0.04;*;5.430;*;
820;J1326-4728E;J1326-4728E;0.004208;1.63e-20;237.658566;-9.194e-16;94.37;*;*;0.03;*;5.430;4.10e+09;
821;B1323-58;J1326-5859;0.477994;3.24e-15;2.092078;-1.419e-14;287.17;-580.40;6.500;18.00;*;3.000;2.34e+06;
822;B1323-63;J1326-6408;0.792674;3.09e-15;1.261553;-4.918e-15;502.70;226.00;7.800;1.90;*;11.992;4.06e+06;
