
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
47;B0037+56;J0040+5716;1.118225;2.88e-15;0.894274;-2.302e-15;92.52;15.30;12.200;0.60;*;2.420;6.15e+06;
48;J0043-73;J0043-73;0.937429;*;1.066747;*;115.00;*;*;0.05;*;58.937;*;
49;J0045-7042;J0045-7042;0.632336;2.49e-15;1.581438;-6.227e-15;71.30;31.00;20.000;0.06;*;59.700;4.02e+06;
50;J0045-7319;J0045-7319;0.926276;4.46e-15;1.079592;-5.202e-15;104.60;-25.00;20.000;0.25;BT;59.700;3.29e+06;
51;B0045+33;J0048+3412;1.217094;2.35e-15;0.821629;-1.589e-15;39.92;-83.30;21.700;*;*;4.501;8.19e+06;
52;J0050+03;J0050+03;1.366560;*;0.731764;*;26.50;*;33.000;*;*;25.000;*;
53;J0051+0423;J0051+0423;0.354732;7.00e-18;2.819031;-5.563e-17;13.93;*;11.000;0.50;*;1.250;8.03e+08;
54;J0052-72;J0052-72;0.191444;*;5.223451;*;158.60;*;*;0.04;*;60.261;*;
55;J0054+66;J0054+66;1.390000;*;0.719424;*;15.00;*;*;*;*;0.901;*;
56;J0054+69;J0054+69;*;*;*;*;90.30;*;*;*;*;2.347;*;
57;J0054+6946;J0054+6946;0.832911;7.19e-16;1.200608;-1.037e-15;116.52;*;14.000;*;*;2.757;1.83e+07;
58;B0052+51;J0055+5117;2.115171;9.54e-15;0.472775;-2.132e-15;44.01;-64.09;73.000;1.50;*;2.800;3.51e+06;
59;B0053+47;J0056+4756;0.472037;3.33e-15;2.118480;-1.494e-14;18.14;-34.16;11.800;*;*;1.123;2.25e+06;
60;J0057-7201;J0057-7201;0.738062;1.00e-16;1.354899;-1.836e-16;27.00;*;*;*;*;3.475;1.17e+08;
61;J0058+4950;J0058+4950;0.996023;8.04e-16;1.003992;-8.100e-16;66.95;*;38.000;*;*;2.647;1.96e+07;
62;J0058+6125;J0058+6125;0.637000;*;1.569859;*;128.30;-212.00;7.800;*;*;2.597;*;
63;J0058-7218;J0058-7218;0.021766;2.89e-14;45.942987;-6.100e-11;*;*;*;*;*;59.700;1.19e+04;
64;J0059+69;J0059+69;1.145900;*;0.872676;*;63.53;*;12.000;*;*;2.048;*;
65;J0100+8023;J0100+8023;1.493601;3.54e-16;0.669523;-1.588e-16;56.01;*;8.010;*;*;2.847;6.68e+07;
66;J0100-7211;J0100-7211;8.020392;1.88e-11;0.124682;-2.923e-13;*;*;*;*;*;59.700;6.76e+03;
67;J0101-6422;J0101-6422;0.002573;5.16e-21;388.628426;-7.793e-16;11.92;20.00;*;0.16;BT;1.001;7.90e+09;
68;J0102+4839;J0102+4839;0.002964;1.14e-20;337.369120;-1.299e-15;53.50;*;*;*;ELL1;2.310;4.11e+09;
69;B0059+65;J0102+6537;1.679164;5.95e-15;0.595534;-2.112e-15;65.85;-94.00;89.700;1.20;*;2.500;4.47e+06;
70;J0103+54;J0103+54;0.354304;*;2.822435;*;55.60;*;6.400;*;*;2.010;*;
71;J0104+64;J0104+64;1.386000;*;0.721501;*;44.60;*;45.000;*;*;1.711;*;
72;J0106+4855;J0106+4855;0.083157;4.28e-16;12.025402;-6.188e-14;70.90;*;*;0.01;*;3.063;3.08e+06;
73;J0107+1322;J0107+1322;1.197383;6.87e-16;0.835154;-4.792e-16;21.67;*;28.000;*;*;2.349;2.76e+07;
74;B0105+65;J0108+6608;1.283660;1.31e-14;0.779023;-7.920e-15;30.55;-27.10;22.500;0.90;*;2.140;1.56e+06;
75;B0105+68;J0108+6905;1.071118;4.81e-17;0.933604;-4.192e-17;61.06;-33.04;12.000;0.40;*;1.981;3.53e+08;
76;J0108-1431;J0108-1431;0.807565;7.70e-17;1.238291;-1.181e-16;2.38;-0.30;30.000;1.40;*;0.210;1.66e+08;
77;J0109+11;J0109+11;0.432700;*;2.311070;*;17.00;*;*;*;*;1.566;*;
78;J0110-22;J0110-22;1.262000;*;0.792393;*;20.80;*;43.000;*;*;25.000;*;
79;J0111+6624;J0111+6624;4.301872;8.36e-15;0.232457;-4.520e-16;111.20;*;33.000;*;*;2.412;8.15e+06;
80;J0111-7131;J0111-7131;0.688542;7.09e-15;1.452345;-1.496e-14;79.40;*;15.000;0.04;*;59.700;1.54e+06;
81;J0113-7220;J0113-7220;0.325883;4.86e-15;3.068586;-4.575e-14;125.49;128.00;4.500;0.19;*;59.700;1.06e+06;
82;J0115+6325;J0115+6325;0.521455;1.60e-15;1.917709;-5.880e-15;65.07;*;22.000;*;*;1.931;5.17e+06;
83;B0114+58;J0117+5914;0.101439;5.85e-15;9.858135;-5.685e-13;49.42;-8.00;4.100;0.30;*;1.768;2.75e+05;
84;J0121+53;J0121+53;2.724785;*;0.367001;*;91.38;*;20.000;*;*;2.644;*;
85;J0122+1416;J0122+1416;1.388994;3.80e-15;0.719946;-1.971e-15;17.69;*;32.000;*;*;1.584;5.79e+06;
86;J0125+62;J0125+62;1.708230;*;0.585401;*;118.00;*;17.000;*;*;2.403;*;
87;J0125-2327;J0125-2327;0.003675;1.84e-20;272.081088;-1.363e-15;9.60;4.78;0.670;2.49;ELL1;0.714;3.16e+09;
88;J0131-7310;J0131-7310;0.348124;1.76e-15;2.872539;-1.453e-14;205.22;-57.00;4.400;0.06;*;59.700;3.13e+06;
89;J0133-6957;J0133-6957;0.463474;1.20e-16;2.157620;-5.586e-16;22.95;7.00;4.500;0.18;*;2.441;6.12e+07;
90;J0134-2937;J0134-2937;0.136962;7.84e-17;7.301316;-4.178e-15;21.81;13.00;2.500;3.90;*;25.000;2.77e+07;
91;J0137+1654;J0137+1654;0.414763;1.22e-17;2.411015;-7.109e-17;26.08;-16.80;14.000;*;*;3.061;5.37e+08;
92;J0137+6349;J0137+6349;0.717963;9.60e-16;1.392830;-1.862e-15;285.50;*;25.000;*;*;9.097;1.19e+07;
93;J0139+3336;J0139+3336;1.247961;2.06e-15;0.801307;-1.325e-15;21.23;*;15.000;*;*;1.472;9.58e+06;
94;J0139+5621;J0139+5621;1.775344;7.91e-14;0.563271;-2.510e-14;101.84;*;36.000;0.02;*;2.410;3.56e+05;
95;B0136+57;J0139+5814;0.272451;1.07e-14;3.670390;-1.443e-13;73.81;-94.13;5.200;4.60;*;2.600;4.03e+05;
96;B0138+59;J0141+6009;1.222949;3.91e-16;0.817696;-2.615e-16;34.93;-47.00;34.900;4.50;*;2.300;4.95e+07;
97;J0141+63;J0141+63;0.046686;*;21.419743;*;272.80;*;2.200;*;*;8.774;*;
98;J0146+31;J0146+31;0.938100;*;1.065984;*;25.00;*;20.000;*;*;1.825;*;
99;J0146+6145;J0146+6145;8.688994;1.99e-12;0.115088;-2.640e-14;*;*;*;*;*;3.600;6.91e+04;
100;B0144+59;J0147+5922;0.196321;2.57e-16;5.093689;-6.662e-15;40.11;-9.50;7.000;2.10;*;1.900;1.21e+07;
101;B0148-06;J0151-0635;1.464665;4.43e-16;0.682750;-2.063e-16;25.66;2.00;122.000;1.60;*;25.000;5.24e+07;
102;J0152+0948;J0152+0948;2.746647;1.70e-15;0.364080;-2.253e-16;22.88;1.40;11.000;*;*;2.477;2.56e+07;
103;B0149-16;J0152-1637;0.832742;1.30e-15;1.200853;-1.874e-15;11.93;7.00;16.000;2.10;*;0.920;1.02e+07;
104;J0154+1833;J0154+1833;0.002365;2.92e-21;422.909914;-5.220e-16;19.80;-22.84;*;0.11;*;1.622;1.28e+10;
105;J0156+04;J0156+04;*;*;*;*;27.50;*;3.800;*;*;25.000;*;
106;B0153+39;J0156+3949;1.811561;1.52e-16;0.552010;-4.620e-17;59.83;-68.58;99.000;*;*;4.920;1.89e+08;
107;B0154+61;J0157+6212;2.351745;1.89e-13;0.425216;-3.416e-14;30.21;-29.00;33.400;1.90;*;1.820;1.97e+05;
